Input,Output
"{{""skill"": ""web development"", ""weight"": 4},{""skill"": ""javascript"", ""weight"": 3},{""skill"": ""html"", ""weight"": 5}}","[{""job_title"": ""Full Stack Developer"", ""job_description"": ""Develop and maintain both front-end and back-end components of web applications."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Web development"", ""HTML"", ""JavaScript""]}, {""job_title"": ""Front-end Developer"", ""job_description"": ""Create visually appealing and responsive user interfaces using HTML, CSS, and JavaScript."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Web development"", ""JavaScript"", ""UI/UX design""]}, {""job_title"": ""Back-end Developer"", ""job_description"": ""Build and maintain server-side logic and databases for web applications."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Web development"", ""JavaScript"", ""Database management""]}, {""job_title"": ""UI/UX Designer"", ""job_description"": ""Design user interfaces and experiences for web and mobile applications."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""UI/UX design"", ""Web development"", ""Creativity""]}, {""job_title"": ""JavaScript Developer"", ""job_description"": ""Specialize in developing applications using JavaScript and related technologies."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""JavaScript"", ""Web development"", ""Problem-solving""]}]"
"{{""skill"": ""java"", ""weight"": 4},{""skill"": ""spring framework"", ""weight"": 3},{""skill"": ""database management"", ""weight"": 5},{""skill"": ""Hibernate"", ""weight"": 4}}","[{""job_title"": ""Java Developer"", ""job_description"": ""Design and implement Java-based applications using the Spring framework."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Java"", ""Spring framework"", ""Database management""]}, {""job_title"": ""Database Administrator"", ""job_description"": ""Manage and optimize database systems for efficient data storage and retrieval."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Database management"", ""SQL"", ""Troubleshooting""]}, {""job_title"": ""Software Engineer"", ""job_description"": ""Develop and maintain software applications using Java and related technologies."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Java"", ""Software development"", ""Problem-solving""]}, {""job_title"": ""Systems Analyst"", ""job_description"": ""Analyze and design information systems to meet organizational needs."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Analysis"", ""Java"", ""Database management""]}, {""job_title"": ""Full Stack Java Developer"", ""job_description"": ""Work on both front-end and back-end development using Java and associated technologies."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Java"", ""Spring framework"", ""Database management"", ""Hibernate""]}]"
"{{""skill"": ""cloud computing"", ""weight"": 5},{""skill"": ""AWS"", ""weight"": 4},{""skill"": ""DevOps"", ""weight"": 3},{""skill"": ""containerization"", ""weight"": 4}}"," [{""job_title"": ""Cloud Solutions Architect"", ""job_description"": ""Design and implement scalable and secure cloud solutions."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cloud computing"", ""AWS"", ""Solution architecture""]}, {""job_title"": ""DevOps Engineer"", ""job_description"": ""Implement and maintain continuous integration and deployment pipelines."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""DevOps"", ""Automation"", ""Cloud computing""]}, {""job_title"": ""AWS Cloud Engineer"", ""job_description"": ""Specialize in the deployment and management of AWS cloud services."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""AWS"", ""Cloud computing"", ""Infrastructure as code""]}, {""job_title"": ""Cloud Security Analyst"", ""job_description"": ""Ensure the security of cloud-based systems and data."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Cloud computing"", ""Security"", ""Risk management""]}, {""job_title"": ""Containerization Specialist"", ""job_description"": ""Implement and manage containerized applications for efficient deployment."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Containerization"", ""DevOps"", ""Cloud computing""]}]"
"{{""skill"": ""data science"", ""weight"": 5},{""skill"": ""machine learning"", ""weight"": 4},{""skill"": ""python"", ""weight"": 3},{""skill"": ""deep learning"", ""weight"": 4}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data science and machine learning techniques to extract insights from complex datasets."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Data science"", ""Machine learning"", ""Python""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for real-world applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Machine learning"", ""Data science"", ""Algorithm development""]}, {""job_title"": ""Python Developer"", ""job_description"": ""Develop and maintain applications using the Python programming language."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Python"", ""Web development"", ""Problem-solving""]}, {""job_title"": ""Deep Learning Specialist"", ""job_description"": ""Specialize in deep learning techniques for advanced artificial intelligence applications."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Deep learning"", ""Machine learning"", ""Neural networks""]}, {""job_title"": ""Data Engineer"", ""job_description"": ""Build and optimize data pipelines for efficient data processing."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Data engineering"", ""Python"", ""Big data""]}]"
"{{""skill"": ""cybersecurity"", ""weight"": 5},{""skill"": ""network security"", ""weight"": 4},{""skill"": ""ethical hacking"", ""weight"": 3},{""skill"": ""penetration testing"", ""weight"": 4}}","[{""job_title"": ""Cybersecurity Analyst"", ""job_description"": ""Monitor and secure computer systems against cyber threats and attacks."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cybersecurity"", ""Network security"", ""Incident response""]}, {""job_title"": ""Network Security Engineer"", ""job_description"": ""Design and implement secure network infrastructure to protect against unauthorized access."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Network security"", ""Cybersecurity"", ""Firewall management""]}, {""job_title"": ""Ethical Hacker"", ""job_description"": ""Identify and fix vulnerabilities in computer systems through ethical hacking techniques."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Ethical hacking"", ""Cybersecurity"", ""Penetration testing""]}, {""job_title"": ""Security Consultant"", ""job_description"": ""Provide expert advice on securing information systems and data."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Cybersecurity"", ""Security consulting"", ""Risk management""]}, {""job_title"": ""Security Software Developer"", ""job_description"": ""Develop software solutions to enhance cybersecurity measures."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Cybersecurity"", ""Software development"", ""Security""]}]"
"{{""skill"": ""mobile app development"", ""weight"": 5},{""skill"": ""iOS"", ""weight"": 4},{""skill"": ""Swift"", ""weight"": 3},{""skill"": ""Android"", ""weight"": 4}}","[{""job_title"": ""iOS Developer"", ""job_description"": ""Create mobile applications for iOS devices using Swift programming language."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""iOS"", ""Swift"", ""Mobile app development""]}, {""job_title"": ""Mobile App Developer"", ""job_description"": ""Develop cross-platform mobile applications for various devices."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Mobile app development"", ""Android"", ""iOS""]}, {""job_title"": ""Swift Developer"", ""job_description"": ""Focus on application development using the Swift programming language."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Swift"", ""iOS"", ""Mobile app development""]}, {""job_title"": ""Android Developer"", ""job_description"": ""Build and optimize applications for the Android platform."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Mobile app development"", ""Android"", ""Java""]}, {""job_title"": ""React Native Developer"", ""job_description"": ""Develop mobile applications using the React Native framework for cross-platform compatibility."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Mobile app development"", ""React Native"", ""JavaScript""]}]"
"{{""skill"": ""cloud computing"", ""weight"": 5},{""skill"": ""AWS"", ""weight"": 4},{""skill"": ""DevOps"", ""weight"": 3},{""skill"": ""containerization"", ""weight"": 4}}","[{""job_title"": ""Cloud Solutions Architect"", ""job_description"": ""Design and implement scalable and secure cloud solutions."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cloud computing"", ""AWS"", ""Solution architecture""]}, {""job_title"": ""DevOps Engineer"", ""job_description"": ""Implement and maintain continuous integration and deployment pipelines."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""DevOps"", ""Automation"", ""Cloud computing""]}, {""job_title"": ""AWS Cloud Engineer"", ""job_description"": ""Specialize in the deployment and management of AWS cloud services."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""AWS"", ""Cloud computing"", ""Infrastructure as code""]"
"{{""skill"": ""artificial intelligence"", ""weight"": 5},{""skill"": ""natural language processing"", ""weight"": 4},{""skill"": ""machine learning"", ""weight"": 3},{""skill"": ""python"", ""weight"": 4}}","[{""job_title"": ""AI Research Scientist"", ""job_description"": ""Conduct cutting-edge research in artificial intelligence and develop innovative algorithms."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Artificial intelligence"", ""Machine learning"", ""Python""]}, {""job_title"": ""NLP Engineer"", ""job_description"": ""Specialize in natural language processing to enhance language-related applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Natural language processing"", ""Python"", ""Machine learning""]}, {""job_title"": ""Machine Learning Specialist"", ""job_description"": ""Apply machine learning techniques to solve complex problems and improve systems."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Machine learning"", ""Artificial intelligence"", ""Python""]}, {""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data science and machine learning to derive insights and predictions."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Data science"", ""Machine learning"", ""Python""]}, {""job_title"": ""AI Developer"", ""job_description"": ""Develop applications that incorporate artificial intelligence and machine learning capabilities."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 62, ""skills"": [""Artificial intelligence"", ""Machine learning"", ""Programming""]}]"
"{{""skill"": ""digital marketing"", ""weight"": 4},{""skill"": ""social media management"", ""weight"": 3},{""skill"": ""SEO"", ""weight"": 5}}","[{""job_title"": ""Digital Marketing Specialist"", ""job_description"": ""Plan and execute comprehensive digital marketing strategies for online presence."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Digital marketing"", ""SEO"", ""Social media management""]}, {""job_title"": ""SEO Analyst"", ""job_description"": ""Optimize website content and structure to improve search engine rankings."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""SEO"", ""Digital marketing"", ""Analytics""]}, {""job_title"": ""Social Media Manager"", ""job_description"": ""Manage and create engaging content across various social media platforms."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Social media management"", ""Digital marketing"", ""Content creation""]}, {""job_title"": ""Content Marketing Specialist"", ""job_description"": ""Develop and implement content strategies to drive audience engagement and growth."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Digital marketing"", ""Content marketing"", ""SEO""]}, {""job_title"": ""Email Marketing Coordinator"", ""job_description"": ""Coordinate and execute email marketing campaigns to promote products and services."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""Digital marketing"", ""Email marketing"", ""Communication""]}]"
"{{""skill"": ""project management"", ""weight"": 5},{""skill"": ""agile methodologies"", ""weight"": 4},{""skill"": ""communication"", ""weight"": 3},{""skill"": ""leadership"", ""weight"": 4}}"," [{""job_title"": ""Project Manager"", ""job_description"": ""Coordinate and oversee projects, ensuring effective communication, teamwork, and problem-solving."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 32, ""skills"": [""Project management"", ""Communication"", ""Agile methodologies""]}, {""job_title"": ""Scrum Master"", ""job_description"": ""Facilitate the Agile development process, promoting collaboration and efficiency."", ""job_growth(in percentage)"": ""5.8%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Agile methodologies"", ""Scrum"", ""Communication""]}, {""job_title"": ""Leadership Development Specialist"", ""job_description"": ""Develop and implement programs to enhance leadership skills within organizations."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Leadership"", ""Project management"", ""Communication""]}, {""job_title"": ""Agile Coach"", ""job_description"": ""Guide teams in adopting and improving Agile practices for successful project delivery."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Agile methodologies"", ""Coaching"", ""Project management""]}, {""job_title"": ""Communication Specialist"", ""job_description"": ""Manage internal and external communication strategies to promote organizational goals."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""Communication"", ""Public relations"", ""Project management""]}]"
